sector_name,dataset_id,row_id,dataset_name,publisher,dataset_type,information_requirements_satisfied,related_gpc_sector,geographic_coverage,geographic_granularity,granularity_class,temporal_coverage,update_frequency,data_format,open_restricted,license,api_available,download_url,documentation_url,short_description,limitations,confidence_level,authoritative_tier,data_tier,usage_type
"Fugitive emissions from mining, processing, storage & transport of coal",PHL-016,PHL-016-I.7,Coal production by source (Key Energy Statistics),DOE,Activity,Coal production by mine/source (e.g. Semirara) for fugitive/energy-industry coal activity,I.7,Philippines coal-producing areas,Source/mine group in KES tables,other_or_mixed,Annual in KES,Annual,PDF tables,Open,Not identified,No,https://prod-cms.doe.gov.ph/documents/d/guest/-final-11-20-25_doe-key-energy-stat-pocket-size-2024-pdf,https://doe.gov.ph/,Official coal production by source supporting fugitive methane and energy-industry fuel accounting where relevant.,Mine-level methane monitoring not open; most cities have no coal mines inside boundary.,High,Primary official,Local + activity-based,local source
Fugitive emissions from oil & natural gas systems,PHL-001,PHL-001-I.8,Philippines Biennial Transparency Report (BTR1) — National GHG Inventories 2015 & 2020,Climate Change Commission (CCC) / UNFCCC,Emissions,"National GHG emissions/removals by Energy, Transport, AFOLU, IPPU, Waste; inventory methods and sectoral results",I.8,Philippines (national),National,national,Inventory years 2015 and 2020 (BTR submitted 2025),BTR/NIR cycle (biennial target under EO 174),PDF (+ CTF tables),Open,Not identified (UNFCCC public),No,https://unfccc.int/sites/default/files/resource/%5BFinal%5D%20Philippine%20Biennial%20Transparency%20Report.pdf,https://unfccc.int/documents/646252,Official BTR1 consolidating 2015 and 2020 national GHG inventories under PGHGIMRS (EO 174).,National totals; not LGU boundary. Underlying agency microdata not fully published with BTR.,High,Primary official,Local + activity-based,validation
Fugitive emissions from oil & natural gas systems,PHL-004,PHL-004-I.8,Key Energy Statistics / Energy Supply and Demand Situationer / Energy Balance Table,DOE — EPPB,Activity,Primary/final energy by fuel; petroleum consumption by sector; coal/oil/gas production & imports; self-sufficiency,I.8,Philippines,National; fuel/sector,national,Annual (e.g. 2023–2024 KES pocketbook),Annual (EBT by mid-year mandate),PDF,Open,Not identified,No,https://prod-cms.doe.gov.ph/documents/d/guest/-final-11-20-25_doe-key-energy-stat-pocket-size-2024-pdf,https://doe.gov.ph/site/eppb/articles/group/statistics?category=Energy+Statistics+%2F+Data+Visualizations&display_type=Card,Official energy statistics pocketbook and situationers including coal/oil/gas production and petroleum use by sector.,City fuel sales not included; biomass traditional use may be under-resolved for LGU inventories.,High,Primary official,Local + activity-based,local source
Fugitive emissions from oil & natural gas systems,PHL-017,PHL-017-I.8,Oil and gas production & petroleum product consumption by sector (KES),DOE,Activity,"Domestic oil/gas production; petroleum products consumption by sector (transport, industry, etc.)",I.8,Philippines,National; sector for products,national,Annual,Annual,PDF,Open,Not identified,No,https://prod-cms.doe.gov.ph/documents/d/guest/-final-11-20-25_doe-key-energy-stat-pocket-size-2024-pdf,https://doe.gov.ph/,Official oil/gas production and petroleum demand by sector for combustion and fugitive screening.,Distribution network leakage rates not published; LGU pump sales absent.,High,Primary official,Local + activity-based,local source
On-road transportation,PHL-001,PHL-001-II.1,Philippines Biennial Transparency Report (BTR1) — National GHG Inventories 2015 & 2020,Climate Change Commission (CCC) / UNFCCC,Emissions,"National GHG emissions/removals by Energy, Transport, AFOLU, IPPU, Waste; inventory methods and sectoral results",II.1,Philippines (national),National,national,Inventory years 2015 and 2020 (BTR submitted 2025),BTR/NIR cycle (biennial target under EO 174),PDF (+ CTF tables),Open,Not identified (UNFCCC public),No,https://unfccc.int/sites/default/files/resource/%5BFinal%5D%20Philippine%20Biennial%20Transparency%20Report.pdf,https://unfccc.int/documents/646252,Official BTR1 consolidating 2015 and 2020 national GHG inventories under PGHGIMRS (EO 174).,National totals; not LGU boundary. Underlying agency microdata not fully published with BTR.,High,Primary official,Local + activity-based,validation
On-road transportation,PHL-002,PHL-002-II.1,2015 and 2020 National GHGI Executive Brief / NICCDIES GHG portal,CCC / NICCDIES,Emissions,Executive summary of national inventories; sector roles; archiving portal for GHG inventory products,II.1,Philippines,National,national,2015 & 2020 (brief July 2024),With inventory cycles,PDF / web,Open,Not identified,No,https://niccdies.climate.gov.ph/files/2015_and_2020_National_GHGI_Executive_Brief_b06d752442.pdf,https://niccdies.climate.gov.ph/ghg-inventory,National inventory executive brief and NICCDIES GHG inventory component for transparency/archiving.,Brief is summary; city inventories separate under LCCAP guidance.,High,Primary official,Local + activity-based,validation
On-road transportation,PHL-004,PHL-004-II.1,Key Energy Statistics / Energy Supply and Demand Situationer / Energy Balance Table,DOE — EPPB,Activity,Primary/final energy by fuel; petroleum consumption by sector; coal/oil/gas production & imports; self-sufficiency,II.1,Philippines,National; fuel/sector,national,Annual (e.g. 2023–2024 KES pocketbook),Annual (EBT by mid-year mandate),PDF,Open,Not identified,No,https://prod-cms.doe.gov.ph/documents/d/guest/-final-11-20-25_doe-key-energy-stat-pocket-size-2024-pdf,https://doe.gov.ph/site/eppb/articles/group/statistics?category=Energy+Statistics+%2F+Data+Visualizations&display_type=Card,Official energy statistics pocketbook and situationers including coal/oil/gas production and petroleum use by sector.,City fuel sales not included; biomass traditional use may be under-resolved for LGU inventories.,High,Primary official,Local + activity-based,local source
On-road transportation,PHL-007,PHL-007-II.1,LTO motor vehicle registration statistics (by classification/region/fuel),Land Transportation Office (LTO) / DOTr,Activity,"Registered motor vehicles by type, region, fuel — on-road fleet activity proxy",II.1,Philippines,National/regional; provincial often on request,state_or_province,Annual (e.g. 2024 FOI releases; 2023 fuel-type compilations),Annual,PDF / FOI attachments / compiled tables,Partial Open (national/regional often public; provincial on request/FOI),Not identified,No,https://www.foi.gov.ph/agencies/lto/total-number-of-registered-vehicles-in-the-philippines-lto-302332582493/,https://rssocar.psa.gov.ph/content/istat-lto,Official vehicle registration counts by classification and fuel; strong fleet basis for on-road inventories.,VKT not included; city (LGU) extracts may need request; publication channel fragmented (FOI/NCTS/LTO).,High,Primary official,Local + activity-based,local source
On-road transportation,PHL-014,PHL-014-II.1,Quezon City GHG inventory / Enhanced QC-LCCAP (GPC-based),Quezon City Government (C40 / partners),Emissions,"City territorial GHG inventory by sector (stationary energy, transport, waste) for reference year ~2016",II.1,Quezon City,City,city_or_municipality,2016 baseline cited in LCCAP (~8 MtCO2e),Plan/update cycles (not confirmed annual open inventory),PDF plans/reports,Open,Not identified,No,https://www.burohappold.com/wp-content/uploads/2022/08/C40_CC_QuezonCity_Report_web.pdf,https://www.env.go.jp/earth/coop/lowcarbon-asia/english/project/data/EN_PHL_2023_01.pdf,Published city-scale GHG inventory results for Quezon City under GPC-aligned planning.,Dated baseline; full CIRIS workbook not always public; rail electricity noted confidential.,High,City official,Local + activity-based,validation
On-road transportation,PHL-017,PHL-017-II.1,Oil and gas production & petroleum product consumption by sector (KES),DOE,Activity,"Domestic oil/gas production; petroleum products consumption by sector (transport, industry, etc.)",II.1,Philippines,National; sector for products,national,Annual,Annual,PDF,Open,Not identified,No,https://prod-cms.doe.gov.ph/documents/d/guest/-final-11-20-25_doe-key-energy-stat-pocket-size-2024-pdf,https://doe.gov.ph/,Official oil/gas production and petroleum demand by sector for combustion and fugitive screening.,Distribution network leakage rates not published; LGU pump sales absent.,High,Primary official,Local + activity-based,local source
On-road transportation,PHL-019,PHL-019-II.1,EDGAR GHG gridded & cities emissions,European Commission JRC,Emissions,Modeled sectoral GHG grids and city products,II.1,Global including Philippines,0.1° / 1 km city products,modeled_grid,1970–2024,Periodic,NetCDF/CSV,Open,As stated by JRC,No,https://edgar.jrc.ec.europa.eu/emissions_data_and_maps,https://edgar.jrc.ec.europa.eu/,"Downscaling baseline only (OEF–C40/GCOM workshop, 14 Aug 2026): use EDGAR city/national coefficients to downscale national UNFCCC inventories for cities without local data. Not a primary source.","Modeled; methodological limitations acknowledged in OEF–C40/GCOM decision. Not a primary city inventory. Where local activity data or official inventories exist (DOE/PSA/BTR/LGU), those take precedence.",High,International modeled,International / global + downscaled,alternative international
On-road transportation,PHL-020,PHL-020-II.1,Climate TRACE inventory,Climate TRACE,Emissions,Asset and urban-area emissions estimates,II.1,Global including Philippines,Asset / urban area,modeled_grid,Monthly recent years,Periodic,CSV/API,Open,As stated by Climate TRACE,Yes,https://climatetrace.org/,https://climatetrace.org/,"Asset/urban emissions useful for power, industry, waste, transport gap-fill.",Not official; boundary mismatch with LGUs possible.,Medium,International modeled,International / global + downscaled,alternative international
Railways,PHL-001,PHL-001-II.2,Philippines Biennial Transparency Report (BTR1) — National GHG Inventories 2015 & 2020,Climate Change Commission (CCC) / UNFCCC,Emissions,"National GHG emissions/removals by Energy, Transport, AFOLU, IPPU, Waste; inventory methods and sectoral results",II.2,Philippines (national),National,national,Inventory years 2015 and 2020 (BTR submitted 2025),BTR/NIR cycle (biennial target under EO 174),PDF (+ CTF tables),Open,Not identified (UNFCCC public),No,https://unfccc.int/sites/default/files/resource/%5BFinal%5D%20Philippine%20Biennial%20Transparency%20Report.pdf,https://unfccc.int/documents/646252,Official BTR1 consolidating 2015 and 2020 national GHG inventories under PGHGIMRS (EO 174).,National totals; not LGU boundary. Underlying agency microdata not fully published with BTR.,High,Primary official,Local + activity-based,validation
Railways,PHL-010,PHL-010-II.2,Urban rail ridership (LRT/MRT/PNR performance disclosures),DOTr / LRTA / PNR (GCG scorecards),Activity,Passenger ridership and capacity metrics for Metro Manila rail; electricity use often confidential,II.2,Metro Manila rail network (+ limited PNR lines),Line / system,other_or_mixed,Annual performance scorecards / operations reports,Annual,PDF,Partial Open,Not identified,No,https://icrs.gcg.gov.ph/files/ZTB7kJpvt8Lq2mjstrrU.pdf,https://data.pssc.org.ph/docs/department-of-transportation/,Public ridership KPIs for national/urban railways; energy often not disclosed.,Quezon City inventory notes rail electricity as confidential; diesel PNR energy sparse.,Medium,Primary operator,Local + activity-based,local source
Railways,PHL-014,PHL-014-II.2,Quezon City GHG inventory / Enhanced QC-LCCAP (GPC-based),Quezon City Government (C40 / partners),Emissions,"City territorial GHG inventory by sector (stationary energy, transport, waste) for reference year ~2016",II.2,Quezon City,City,city_or_municipality,2016 baseline cited in LCCAP (~8 MtCO2e),Plan/update cycles (not confirmed annual open inventory),PDF plans/reports,Open,Not identified,No,https://www.burohappold.com/wp-content/uploads/2022/08/C40_CC_QuezonCity_Report_web.pdf,https://www.env.go.jp/earth/coop/lowcarbon-asia/english/project/data/EN_PHL_2023_01.pdf,Published city-scale GHG inventory results for Quezon City under GPC-aligned planning.,Dated baseline; full CIRIS workbook not always public; rail electricity noted confidential.,High,City official,Local + activity-based,validation
Waterborne navigation,PHL-001,PHL-001-II.3,Philippines Biennial Transparency Report (BTR1) — National GHG Inventories 2015 & 2020,Climate Change Commission (CCC) / UNFCCC,Emissions,"National GHG emissions/removals by Energy, Transport, AFOLU, IPPU, Waste; inventory methods and sectoral results",II.3,Philippines (national),National,national,Inventory years 2015 and 2020 (BTR submitted 2025),BTR/NIR cycle (biennial target under EO 174),PDF (+ CTF tables),Open,Not identified (UNFCCC public),No,https://unfccc.int/sites/default/files/resource/%5BFinal%5D%20Philippine%20Biennial%20Transparency%20Report.pdf,https://unfccc.int/documents/646252,Official BTR1 consolidating 2015 and 2020 national GHG inventories under PGHGIMRS (EO 174).,National totals; not LGU boundary. Underlying agency microdata not fully published with BTR.,High,Primary official,Local + activity-based,validation
Waterborne navigation,PHL-008,PHL-008-II.3,Philippine Ports Authority (PPA) annual & quarterly port statistics,Philippine Ports Authority,Activity,"Cargo, passenger, RoRo, shipping statistics by PMO/port",II.3,PPA ports nationwide,Port / PMO,facility_or_asset,Annual volumes + quarterly summaries (ongoing through 2024+),Quarterly / annual,PDF,Open,Not identified,No,https://ppa.com.ph/?q=content/statistics-1,https://ppa.com.ph/?q=content/statistics-1,Comprehensive open port-level traffic statistics for waterborne activity data.,Vessel fuel/bunkering and AIS emissions not included; some ports under other authorities (e.g. CPA) separate.,High,Primary official,Local + activity-based,local source
Waterborne navigation,PHL-019,PHL-019-II.3,EDGAR GHG gridded & cities emissions,European Commission JRC,Emissions,Modeled sectoral GHG grids and city products,II.3,Global including Philippines,0.1° / 1 km city products,modeled_grid,1970–2024,Periodic,NetCDF/CSV,Open,As stated by JRC,No,https://edgar.jrc.ec.europa.eu/emissions_data_and_maps,https://edgar.jrc.ec.europa.eu/,"Downscaling baseline only (OEF–C40/GCOM workshop, 14 Aug 2026): use EDGAR city/national coefficients to downscale national UNFCCC inventories for cities without local data. Not a primary source.","Modeled; methodological limitations acknowledged in OEF–C40/GCOM decision. Not a primary city inventory. Where local activity data or official inventories exist (DOE/PSA/BTR/LGU), those take precedence.",High,International modeled,International / global + downscaled,alternative international
Waterborne navigation,PHL-020,PHL-020-II.3,Climate TRACE inventory,Climate TRACE,Emissions,Asset and urban-area emissions estimates,II.3,Global including Philippines,Asset / urban area,modeled_grid,Monthly recent years,Periodic,CSV/API,Open,As stated by Climate TRACE,Yes,https://climatetrace.org/,https://climatetrace.org/,"Asset/urban emissions useful for power, industry, waste, transport gap-fill.",Not official; boundary mismatch with LGUs possible.,Medium,International modeled,International / global + downscaled,alternative international
Aviation,PHL-001,PHL-001-II.4,Philippines Biennial Transparency Report (BTR1) — National GHG Inventories 2015 & 2020,Climate Change Commission (CCC) / UNFCCC,Emissions,"National GHG emissions/removals by Energy, Transport, AFOLU, IPPU, Waste; inventory methods and sectoral results",II.4,Philippines (national),National,national,Inventory years 2015 and 2020 (BTR submitted 2025),BTR/NIR cycle (biennial target under EO 174),PDF (+ CTF tables),Open,Not identified (UNFCCC public),No,https://unfccc.int/sites/default/files/resource/%5BFinal%5D%20Philippine%20Biennial%20Transparency%20Report.pdf,https://unfccc.int/documents/646252,Official BTR1 consolidating 2015 and 2020 national GHG inventories under PGHGIMRS (EO 174).,National totals; not LGU boundary. Underlying agency microdata not fully published with BTR.,High,Primary official,Local + activity-based,validation
Aviation,PHL-009,PHL-009-II.4,CAAP / MIAA / MCIAA / CIAC airport traffic statistics & dashboards,"CAAP and airport authorities (MIAA, MCIAA, CIAC) under DOTr",Activity,"Passenger, cargo, aircraft movements by airport",II.4,Philippine airports,Airport,facility_or_asset,Ongoing authority dashboards/reports (availability varies by airport),Monthly/annual (varies),Dashboard / PDF / Excel,Open (dashboards),Not identified,Unknown,https://data.pssc.org.ph/docs/department-of-transportation/,http://www.cab.gov.ph/statistics,Airport-level aviation activity statistics via CAAP and major airport authorities.,Fuel uplift/LTO by aircraft type not always public; dashboard URLs change; CAB page is contacts-heavy.,Medium,Primary official,Local + activity-based,local source
Aviation,PHL-019,PHL-019-II.4,EDGAR GHG gridded & cities emissions,European Commission JRC,Emissions,Modeled sectoral GHG grids and city products,II.4,Global including Philippines,0.1° / 1 km city products,modeled_grid,1970–2024,Periodic,NetCDF/CSV,Open,As stated by JRC,No,https://edgar.jrc.ec.europa.eu/emissions_data_and_maps,https://edgar.jrc.ec.europa.eu/,"Downscaling baseline only (OEF–C40/GCOM workshop, 14 Aug 2026): use EDGAR city/national coefficients to downscale national UNFCCC inventories for cities without local data. Not a primary source.","Modeled; methodological limitations acknowledged in OEF–C40/GCOM decision. Not a primary city inventory. Where local activity data or official inventories exist (DOE/PSA/BTR/LGU), those take precedence.",High,International modeled,International / global + downscaled,alternative international
Aviation,PHL-020,PHL-020-II.4,Climate TRACE inventory,Climate TRACE,Emissions,Asset and urban-area emissions estimates,II.4,Global including Philippines,Asset / urban area,modeled_grid,Monthly recent years,Periodic,CSV/API,Open,As stated by Climate TRACE,Yes,https://climatetrace.org/,https://climatetrace.org/,"Asset/urban emissions useful for power, industry, waste, transport gap-fill.",Not official; boundary mismatch with LGUs possible.,Medium,International modeled,International / global + downscaled,alternative international
Off-road transportation,PHL-001,PHL-001-II.5,Philippines Biennial Transparency Report (BTR1) — National GHG Inventories 2015 & 2020,Climate Change Commission (CCC) / UNFCCC,Emissions,"National GHG emissions/removals by Energy, Transport, AFOLU, IPPU, Waste; inventory methods and sectoral results",II.5,Philippines (national),National,national,Inventory years 2015 and 2020 (BTR submitted 2025),BTR/NIR cycle (biennial target under EO 174),PDF (+ CTF tables),Open,Not identified (UNFCCC public),No,https://unfccc.int/sites/default/files/resource/%5BFinal%5D%20Philippine%20Biennial%20Transparency%20Report.pdf,https://unfccc.int/documents/646252,Official BTR1 consolidating 2015 and 2020 national GHG inventories under PGHGIMRS (EO 174).,National totals; not LGU boundary. Underlying agency microdata not fully published with BTR.,High,Primary official,Local + activity-based,validation
Off-road transportation,PHL-004,PHL-004-II.5,Key Energy Statistics / Energy Supply and Demand Situationer / Energy Balance Table,DOE — EPPB,Activity,Primary/final energy by fuel; petroleum consumption by sector; coal/oil/gas production & imports; self-sufficiency,II.5,Philippines,National; fuel/sector,national,Annual (e.g. 2023–2024 KES pocketbook),Annual (EBT by mid-year mandate),PDF,Open,Not identified,No,https://prod-cms.doe.gov.ph/documents/d/guest/-final-11-20-25_doe-key-energy-stat-pocket-size-2024-pdf,https://doe.gov.ph/site/eppb/articles/group/statistics?category=Energy+Statistics+%2F+Data+Visualizations&display_type=Card,Official energy statistics pocketbook and situationers including coal/oil/gas production and petroleum use by sector.,City fuel sales not included; biomass traditional use may be under-resolved for LGU inventories.,High,Primary official,Local + activity-based,local source
Solid waste disposal,PHL-001,PHL-001-III.1,Philippines Biennial Transparency Report (BTR1) — National GHG Inventories 2015 & 2020,Climate Change Commission (CCC) / UNFCCC,Emissions,"National GHG emissions/removals by Energy, Transport, AFOLU, IPPU, Waste; inventory methods and sectoral results",III.1,Philippines (national),National,national,Inventory years 2015 and 2020 (BTR submitted 2025),BTR/NIR cycle (biennial target under EO 174),PDF (+ CTF tables),Open,Not identified (UNFCCC public),No,https://unfccc.int/sites/default/files/resource/%5BFinal%5D%20Philippine%20Biennial%20Transparency%20Report.pdf,https://unfccc.int/documents/646252,Official BTR1 consolidating 2015 and 2020 national GHG inventories under PGHGIMRS (EO 174).,National totals; not LGU boundary. Underlying agency microdata not fully published with BTR.,High,Primary official,Local + activity-based,validation
Solid waste disposal,PHL-002,PHL-002-III.1,2015 and 2020 National GHGI Executive Brief / NICCDIES GHG portal,CCC / NICCDIES,Emissions,Executive summary of national inventories; sector roles; archiving portal for GHG inventory products,III.1,Philippines,National,national,2015 & 2020 (brief July 2024),With inventory cycles,PDF / web,Open,Not identified,No,https://niccdies.climate.gov.ph/files/2015_and_2020_National_GHGI_Executive_Brief_b06d752442.pdf,https://niccdies.climate.gov.ph/ghg-inventory,National inventory executive brief and NICCDIES GHG inventory component for transparency/archiving.,Brief is summary; city inventories separate under LCCAP guidance.,High,Primary official,Local + activity-based,validation
Solid waste disposal,PHL-011,PHL-011-III.1,NSWMC / EMB solid waste generation & facility status reports,National Solid Waste Management Commission / DENR-EMB,Activity,MSW generation estimates by region; composition; dumpsite/SLF/MRF counts; LGU SWM plan status,III.1,Philippines,National/regional; LGU facilities in EMB regional tables,state_or_province,Status reports (~2008–2018 historical; regional ENR tables to 2023+),Irregular national status; regional ENR annual-ish,PDF / web tables,Partial Open,Not identified,No,https://climate-transparency-platform.org/sites/default/files/2024-06/D4_Overview%20of%20waste%20sector%20and%20solid%20waste_CBIT%20GSP.pdf,https://r7.denr.gov.ph/environment-sector-2024/,Official waste-sector statistics and facility inventories underpinning waste activity data for inventories.,National series fragmented; city tonnage/composition best from LGU 10-year SWM plans; open burning poorly measured.,Medium,Primary official,Local + activity-based,local source
Solid waste disposal,PHL-014,PHL-014-III.1,Quezon City GHG inventory / Enhanced QC-LCCAP (GPC-based),Quezon City Government (C40 / partners),Emissions,"City territorial GHG inventory by sector (stationary energy, transport, waste) for reference year ~2016",III.1,Quezon City,City,city_or_municipality,2016 baseline cited in LCCAP (~8 MtCO2e),Plan/update cycles (not confirmed annual open inventory),PDF plans/reports,Open,Not identified,No,https://www.burohappold.com/wp-content/uploads/2022/08/C40_CC_QuezonCity_Report_web.pdf,https://www.env.go.jp/earth/coop/lowcarbon-asia/english/project/data/EN_PHL_2023_01.pdf,Published city-scale GHG inventory results for Quezon City under GPC-aligned planning.,Dated baseline; full CIRIS workbook not always public; rail electricity noted confidential.,High,City official,Local + activity-based,validation
Solid waste disposal,PHL-019,PHL-019-III.1,EDGAR GHG gridded & cities emissions,European Commission JRC,Emissions,Modeled sectoral GHG grids and city products,III.1,Global including Philippines,0.1° / 1 km city products,modeled_grid,1970–2024,Periodic,NetCDF/CSV,Open,As stated by JRC,No,https://edgar.jrc.ec.europa.eu/emissions_data_and_maps,https://edgar.jrc.ec.europa.eu/,"Downscaling baseline only (OEF–C40/GCOM workshop, 14 Aug 2026): use EDGAR city/national coefficients to downscale national UNFCCC inventories for cities without local data. Not a primary source.","Modeled; methodological limitations acknowledged in OEF–C40/GCOM decision. Not a primary city inventory. Where local activity data or official inventories exist (DOE/PSA/BTR/LGU), those take precedence.",High,International modeled,International / global + downscaled,alternative international
Solid waste disposal,PHL-020,PHL-020-III.1,Climate TRACE inventory,Climate TRACE,Emissions,Asset and urban-area emissions estimates,III.1,Global including Philippines,Asset / urban area,modeled_grid,Monthly recent years,Periodic,CSV/API,Open,As stated by Climate TRACE,Yes,https://climatetrace.org/,https://climatetrace.org/,"Asset/urban emissions useful for power, industry, waste, transport gap-fill.",Not official; boundary mismatch with LGUs possible.,Medium,International modeled,International / global + downscaled,alternative international
Biological treatment of waste,PHL-001,PHL-001-III.2,Philippines Biennial Transparency Report (BTR1) — National GHG Inventories 2015 & 2020,Climate Change Commission (CCC) / UNFCCC,Emissions,"National GHG emissions/removals by Energy, Transport, AFOLU, IPPU, Waste; inventory methods and sectoral results",III.2,Philippines (national),National,national,Inventory years 2015 and 2020 (BTR submitted 2025),BTR/NIR cycle (biennial target under EO 174),PDF (+ CTF tables),Open,Not identified (UNFCCC public),No,https://unfccc.int/sites/default/files/resource/%5BFinal%5D%20Philippine%20Biennial%20Transparency%20Report.pdf,https://unfccc.int/documents/646252,Official BTR1 consolidating 2015 and 2020 national GHG inventories under PGHGIMRS (EO 174).,National totals; not LGU boundary. Underlying agency microdata not fully published with BTR.,High,Primary official,Local + activity-based,validation
Biological treatment of waste,PHL-011,PHL-011-III.2,NSWMC / EMB solid waste generation & facility status reports,National Solid Waste Management Commission / DENR-EMB,Activity,MSW generation estimates by region; composition; dumpsite/SLF/MRF counts; LGU SWM plan status,III.2,Philippines,National/regional; LGU facilities in EMB regional tables,state_or_province,Status reports (~2008–2018 historical; regional ENR tables to 2023+),Irregular national status; regional ENR annual-ish,PDF / web tables,Partial Open,Not identified,No,https://climate-transparency-platform.org/sites/default/files/2024-06/D4_Overview%20of%20waste%20sector%20and%20solid%20waste_CBIT%20GSP.pdf,https://r7.denr.gov.ph/environment-sector-2024/,Official waste-sector statistics and facility inventories underpinning waste activity data for inventories.,National series fragmented; city tonnage/composition best from LGU 10-year SWM plans; open burning poorly measured.,Medium,Primary official,Local + activity-based,local source
Incineration & open burning,PHL-001,PHL-001-III.3,Philippines Biennial Transparency Report (BTR1) — National GHG Inventories 2015 & 2020,Climate Change Commission (CCC) / UNFCCC,Emissions,"National GHG emissions/removals by Energy, Transport, AFOLU, IPPU, Waste; inventory methods and sectoral results",III.3,Philippines (national),National,national,Inventory years 2015 and 2020 (BTR submitted 2025),BTR/NIR cycle (biennial target under EO 174),PDF (+ CTF tables),Open,Not identified (UNFCCC public),No,https://unfccc.int/sites/default/files/resource/%5BFinal%5D%20Philippine%20Biennial%20Transparency%20Report.pdf,https://unfccc.int/documents/646252,Official BTR1 consolidating 2015 and 2020 national GHG inventories under PGHGIMRS (EO 174).,National totals; not LGU boundary. Underlying agency microdata not fully published with BTR.,High,Primary official,Local + activity-based,validation
Incineration & open burning,PHL-011,PHL-011-III.3,NSWMC / EMB solid waste generation & facility status reports,National Solid Waste Management Commission / DENR-EMB,Activity,MSW generation estimates by region; composition; dumpsite/SLF/MRF counts; LGU SWM plan status,III.3,Philippines,National/regional; LGU facilities in EMB regional tables,state_or_province,Status reports (~2008–2018 historical; regional ENR tables to 2023+),Irregular national status; regional ENR annual-ish,PDF / web tables,Partial Open,Not identified,No,https://climate-transparency-platform.org/sites/default/files/2024-06/D4_Overview%20of%20waste%20sector%20and%20solid%20waste_CBIT%20GSP.pdf,https://r7.denr.gov.ph/environment-sector-2024/,Official waste-sector statistics and facility inventories underpinning waste activity data for inventories.,National series fragmented; city tonnage/composition best from LGU 10-year SWM plans; open burning poorly measured.,Medium,Primary official,Local + activity-based,local source
Wastewater treatment & discharge,PHL-001,PHL-001-III.4,Philippines Biennial Transparency Report (BTR1) — National GHG Inventories 2015 & 2020,Climate Change Commission (CCC) / UNFCCC,Emissions,"National GHG emissions/removals by Energy, Transport, AFOLU, IPPU, Waste; inventory methods and sectoral results",III.4,Philippines (national),National,national,Inventory years 2015 and 2020 (BTR submitted 2025),BTR/NIR cycle (biennial target under EO 174),PDF (+ CTF tables),Open,Not identified (UNFCCC public),No,https://unfccc.int/sites/default/files/resource/%5BFinal%5D%20Philippine%20Biennial%20Transparency%20Report.pdf,https://unfccc.int/documents/646252,Official BTR1 consolidating 2015 and 2020 national GHG inventories under PGHGIMRS (EO 174).,National totals; not LGU boundary. Underlying agency microdata not fully published with BTR.,High,Primary official,Local + activity-based,validation
Wastewater treatment & discharge,PHL-005,PHL-005-III.4,"PSA OpenSTAT — Energy, Agriculture, Environment databases",Philippine Statistics Authority (PSA),Activity,"Open statistical tables for energy, agriculture/forestry/fisheries, environment; allocation proxies",III.4,Philippines,National to regional/provincial depending on table,state_or_province,Multi-year PX-Web series,As PSA releases,PX-Web / CSV export,Open,Open (attribution required per OpenSTAT),Yes (PX-Web),https://openstat.psa.gov.ph/,https://openstat.psa.gov.ph/,National open statistics platform with energy and AFOLU-related tables usable for activity and allocation.,Coverage uneven across GPC needs; not utility meter data.,High,Primary official,Local + activity-based,local source
Wastewater treatment & discharge,PHL-014,PHL-014-III.4,Quezon City GHG inventory / Enhanced QC-LCCAP (GPC-based),Quezon City Government (C40 / partners),Emissions,"City territorial GHG inventory by sector (stationary energy, transport, waste) for reference year ~2016",III.4,Quezon City,City,city_or_municipality,2016 baseline cited in LCCAP (~8 MtCO2e),Plan/update cycles (not confirmed annual open inventory),PDF plans/reports,Open,Not identified,No,https://www.burohappold.com/wp-content/uploads/2022/08/C40_CC_QuezonCity_Report_web.pdf,https://www.env.go.jp/earth/coop/lowcarbon-asia/english/project/data/EN_PHL_2023_01.pdf,Published city-scale GHG inventory results for Quezon City under GPC-aligned planning.,Dated baseline; full CIRIS workbook not always public; rail electricity noted confidential.,High,City official,Local + activity-based,validation
Wastewater treatment & discharge,PHL-024,PHL-024-III.4,Water utilities / MWSS concessionaire disclosures (wastewater supporting for Metro Manila),MWSS concessionaires (Maynilad / Manila Water) — annual reports,Activity,"Population served, wastewater volumes/treatment context for Metro Manila",III.4,Metro Manila concession areas,Concession / service area,other_or_mixed,Annual reports,Annual,PDF,Partial Open,Not identified,No,https://www.manilawater.com/,https://niccdies.climate.gov.ph/files/Community_Level_GHG_Inventory_User_Manual_a2b123ef69.pdf,Utility reports providing wastewater service coverage proxies for Metro Manila LGUs.,BOD/COD plant dashboards rarely open; outside Metro Manila coverage via local water districts uneven.,Medium,Primary operator,Local + activity-based,local source
